date,state,npa_plz,latitude,longitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-03-25,VD,1121,46.544,6.51879,2,0,0,0,0,0
2020-03-25,SO,4500,47.2084,7.53011,3,0,0,0,0,0
2020-03-25,BE,2518,47.1214,7.08312,1,0,0,0,0,0
2020-03-25,VD,1852,46.357,6.84387,1,0,1,0,0,0
2020-03-25,VD,1867,46.296,7.02019,1,0,0,0,0,0
2020-03-25,BE,3123,46.8927,7.50675,0,0,0,0,0,1
2020-03-25,VD,1808,46.5035,6.88124,2,0,0,0,0,0
2020-03-25,VD,1063,46.6601,6.75368,1,0,0,0,0,0
2020-03-25,BE,3098,46.9043,7.39781,1,0,0,0,0,0
2020-03-25,BS,4056,47.5487,7.58768,1,0,0,0,0,0
2020-03-25,FR,1474,46.8212,6.81007,2,0,0,0,0,0
2020-03-25,VD,1302,46.5748,6.53683,3,1,0,0,0,0
2020-03-25,FR,1619,46.5225,6.94392,1,0,0,0,0,0
2020-03-25,GE,1246,46.2614,6.21398,4,0,1,1,0,1
2020-03-25,FR,1728,46.7222,7.08908,2,0,0,0,0,0
2020-03-25,BE,2746,47.2854,7.45199,1,0,0,0,0,0
2020-03-25,VD,1128,46.5381,6.43971,1,0,0,0,0,0
2020-03-25,VD,1182,46.4573,6.30012,1,0,0,0,0,0
2020-03-25,VD,1608,46.5621,6.86249,2,0,0,0,0,0
2020-03-25,VD,1376,46.6463,6.59021,1,0,0,0,0,0
2020-03-25,FR,1653,46.6172,7.12698,1,0,0,0,0,0
2020-03-25,JU,2903,47.3855,7.081,1,0,0,0,0,0
2020-03-25,VS,1972,46.297,7.40042,2,0,0,0,0,0
2020-03-25,JU,2882,47.3577,7.15331,1,0,0,0,0,0
2020-03-25,BL,4442,47.4436,7.84197,1,0,0,0,0,0
2020-03-25,JU,2824,47.3509,7.42703,1,0,0,0,0,0
2020-03-25,VS,1927,46.0774,7.10281,1,0,0,0,0,0
2020-03-25,VD,1884,46.281,7.00893,2,0,0,0,0,0
2020-03-25,VD,1163,46.4842,6.42174,2,0,0,1,0,0
2020-03-25,SZ,8847,47.1618,8.78307,1,0,0,0,0,0
2020-03-25,VS,1925,46.0715,6.94664,1,0,0,0,0,0
2020-03-25,AG,4310,47.5559,7.80463,1,0,0,0,0,0
2020-03-25,NE,2108,46.934,6.63054,2,0,0,0,0,0
2020-03-25,GE,1212,46.1828,6.1205,10,1,1,0,0,0
2020-03-25,ZH,8000,47.3605,8.47522,1,0,0,0,0,0
2020-03-25,VS,1895,46.3078,6.87128,4,0,0,0,0,0
2020-03-25,JU,2852,47.3309,7.31766,1,0,0,0,0,0
2020-03-25,BE,3622,46.7753,7.68273,1,0,0,0,0,0
2020-03-25,VD,1188,46.5267,6.28937,1,0,0,0,0,0
2020-03-25,LU,6043,47.0723,8.36847,1,0,0,0,0,0
2020-03-25,VD,1586,46.9324,7.03689,1,0,0,0,0,0
2020-03-25,ZH,8602,47.4107,8.63457,1,0,0,0,0,0
2020-03-25,VD,1322,46.6852,6.48278,1,0,0,0,0,0
2020-03-25,VS,1963,46.2258,7.27057,1,0,0,0,0,1
2020-03-25,VD,1407,46.7266,6.71463,2,0,0,0,0,0
2020-03-25,VD,1068,46.5363,6.68942,0,1,0,0,0,0
2020-03-25,GE,1220,46.2212,6.10785,5,0,1,0,0,0
2020-03-25,NE,2022,46.9312,6.80413,1,0,0,0,0,0
2020-03-25,BE,2520,47.0753,7.10165,1,0,0,0,0,0
2020-03-25,FR,1744,46.7423,6.99744,1,0,0,0,0,0
2020-03-25,GR,7742,46.3525,10.0617,1,0,0,0,0,0
2020-03-25,FR,1527,47.6585,8.75283,0,1,0,0,0,0
2020-03-25,VD,1169,46.5242,6.40905,1,0,0,0,0,0
2020-03-25,BE,2720,47.2272,7.0968,1,0,0,0,0,0
2020-03-25,FR,1624,46.5976,6.92027,1,0,0,0,0,0
2020-03-25,JU,2830,47.3347,7.37428,1,0,0,0,0,0
2020-03-25,VD,1580,46.8847,7.03835,1,0,0,0,0,0
2020-03-25,GE,1293,46.2573,6.13649,6,1,1,0,0,0
2020-03-25,VD,1514,46.6897,6.80936,1,0,0,0,0,0
2020-03-25,BS,4053,47.5577,7.59366,1,0,0,0,0,0
2020-03-25,VS,1903,46.1734,7.05089,1,0,0,0,0,0
2020-03-25,VD,1522,46.7076,6.81424,0,0,1,1,0,0
2020-03-25,NE,2088,47.0505,7.02402,1,0,0,0,0,0
2020-03-25,VD,1142,46.5862,6.42198,1,0,0,0,0,0
2020-03-25,VS,1937,45.9723,7.1014,1,0,0,0,0,0
2020-03-25,ZH,8125,47.3464,8.60151,1,0,0,0,0,0
2020-03-25,ZH,8706,47.2804,8.65256,2,0,0,0,0,0
2020-03-25,VD,1044,46.6729,6.67843,0,1,0,0,0,0
2020-03-25,VD,1148,46.6244,6.39314,1,0,0,0,0,0
2020-03-25,VD,1145,46.5478,6.31749,1,1,0,0,0,0
2020-03-25,JU,2338,47.223,6.98615,1,0,0,0,0,0
2020-03-25,VD,1029,46.5658,6.56097,4,0,0,0,0,0
2020-03-25,ZH,8038,47.3828,8.53081,1,0,0,0,0,0
2020-03-25,AG,5312,47.56,8.25304,1,0,0,0,0,0
2020-03-25,SZ,6405,47.1019,8.47078,1,0,0,0,0,0
2020-03-25,VS,3920,45.9897,7.75248,1,0,0,0,0,1
2020-03-25,FR,1485,46.7802,6.83071,2,0,0,0,0,0
2020-03-25,VD,1034,46.5983,6.58174,1,0,0,0,0,0
2020-03-25,FR,1649,46.701,7.11002,1,0,0,0,0,0
2020-03-25,VD,1305,46.6128,6.52905,2,0,0,0,0,0
2020-03-25,VD,1132,46.5006,6.4437,2,0,0,0,0,0
2020-03-25,FR,1694,46.7,7.01682,0,0,1,0,0,0
2020-03-25,ZH,8600,47.3905,8.61731,1,0,0,0,0,0
2020-03-25,VD,1801,46.4821,6.83138,2,0,0,0,0,0
2020-03-25,FR,3175,46.8793,7.31963,1,0,0,0,0,0
2020-03-25,BE,3506,46.9055,7.63245,1,0,0,0,0,0
